Climb,Area,Stars,Grade,Type
Veasy,King Conquerer,2.5,V0,Boulder
Classic Line,Tree Slab,2.5,V0,Boulder
South Face,Beer Barrel Boulder,2,V0,Boulder
Cave Hang,"Candel Area, The
        
             > Cave Hang",3,V0,Boulder
South Face,"Dark Side
        
             > Nook's Rock",2.5,V0,Boulder
Southwest Prow,Beer Barrel Boulder,3,V0,Boulder
Sailor's Delight,Cloud Shadow,3.5,V1,Boulder
West Overhang,Monkey Traverse,2.5,V1,Boulder
The Ramp,"Candel Area, The
        
             > Jug",3.5,V1,Boulder
Slab Traverse,Tree Slab,2.5,V1,Boulder
Center Right,Upper Y Traverse,2.5,V1,Boulder
Y-Left,Upper Y Traverse,2.5,V1,Boulder
Overhanging Hand Traverse,Flagstaff Amphitheatre,3.5,V1,Boulder
Y-Right,Upper Y Traverse,3,V1,Boulder
Moderate Bulge,Cloud Shadow,2.5,V1,Boulder
V1 Slabs,Tree Slab,2.5,V1,Boulder
Standard Route,Pinnacle Colada,2.5,V1,Boulder
That Flakes It Arete,"Dark Side
        
             > Nook's Rock",2,V1,Boulder
Southwest Layback,King Conquerer,2.5,V1+,Boulder
Contemplation,Cloud Shadow,3,V2,Boulder
Allegro Bulge,Cloud Shadow,3,V2,Boulder
Triple Bulge,Tombstone Spire,2.5,V2,Boulder
Leany Face,Little Flatiron,2.5,V2,Boulder
The Pillar,"Dark Side
        
             > Miscellaneous Problems",3,V2,Boulder
Crystal Mantel,Pebble Boulder,2.5,V2,Boulder
Big Overhang,Overhang Wall,3.5,V2,Boulder
Pratt's Mantle,Pratt's Rock aka Prat…,3,V2+,Boulder
Crystal Corner,Pratt's Rock aka Prat…,2.5,V2+,Boulder
West Overhang,Distant Dancer Pinnacle,3,V2+,Boulder
North Overhang,Amphitheater's Backside,3.5,V3-,Boulder
South Crack,Capstan,3,V3-,Boulder
Pratt's Overhang,Pratt's Rock aka Prat…,3,V3,Boulder
Alcove East Overhang,Cloud Shadow,3,V3,Boulder
Direct Route,Flagstaff Amphitheatre,3,V3,Boulder
Pinch Bulge,Upper Y Traverse,2.5,V3,Boulder
Shark Arete,Shark's Rock,3,V3,Boulder
Traverse,Overhang Wall,2.5,V3,Boulder
Aerial Burial,Pratt's Rock aka Prat…,3,V3,Boulder
South Undercling,Flagstaff Amphitheatre,3,V3,Boulder
Upper Y Traverse,Upper Y Traverse,3.5,V3+,Boulder
Northwestern Overhang (a.k.a. Th…,Rd Sign Rock,3,V3+,Boulder
West Face Traverse,Beer Barrel Boulder,2.5,V3-4,Boulder
Shallow Slot,Monkey Traverse,3,V3-4,Boulder
North Overhang,Pebble Boulder,3,V3-4,Boulder
Standard Route,Red Wall,3,V3-4,Boulder
Jim Hall Traverse,"Dark Side
        
             > Nook's Rock",2.5,V4,Boulder
Lomans Highball,Pinnacle Colada,3.5,V4,Boulder
Gill Direct,Flagstaff Amphitheatre,3.5,V4,Boulder
That Flakes It,"Dark Side
        
             > Nook's Rock",2.5,V4,Boulder
Center Left,Red Wall,3.5,V4,Boulder
Round Pebble,Three of a Kind Wall,3,V4,Boulder
Right Side,Red Wall,3,V4,Boulder
The Consideration,Cloud Shadow,3,V4,Boulder
The Face,Three of a Kind Wall,3.5,V4,Boulder
Gill Swing,Pratt's Rock aka Prat…,3.5,V4,Boulder
Shark Direct,Shark's Rock,3,V4,Boulder
Deeper Cuts,"Dark Side
        
             > Miscellaneous Problems",3,V4,Boulder
The Prow,"Candel Area, The
        
             > Overhanging Prow",3,V4,Boulder
The Monkey Traverse (aka Long Tr…,Monkey Traverse,3.5,V4,Boulder
Pinch Bulge Sit Down,Upper Y Traverse,2.5,V4+,Boulder
Cloud Shadow Traverse,Cloud Shadow,3,V4+,Boulder
Cave Hang Direct,"Candel Area, The
        
             > Cave Hang",2.5,V5,Boulder
Face Out,King Conquerer,3.5,V5,Boulder
The Traverse,Three of a Kind Wall,3.5,V5,Boulder
Eric Varney Direct,Red Wall,3.5,V5,Boulder
Iron Cross Traverse,Miscellaneous Valley,3.5,V5,Boulder
Hagan's Wall,Cloud Shadow,3.5,V5,Boulder
Poling Pebble,Beer Barrel Boulder,2.5,V5,Boulder
Kaptain Face,Three of a Kind Wall,3,V5,Boulder
The Great Escape,Great Escape Boulder,3.5,V6-,Boulder
30th Birthday Roof,"Dark Side
        
             > Nook's Rock",3,V6,Boulder
Full North Overhang Traverse,Rd Sign Rock,3,V6,Boulder
Stranger Than Friction,Cloud Shadow,4,V6,Boulder
Nuclear Arms,Beer Barrel Boulder,3,V6,Boulder
First Overhang,First Overhang,3.5,V6,Boulder
Bob's Bulge,Cloud Shadow,3,V6,Boulder
Beer Belly aka Beached Whale?,Beer Barrel Boulder,2.5,V6,Boulder
Conquerer Traverse,King Conquerer,2.5,V6,Boulder
Cloud Shadow Low,Cloud Shadow,3.5,V7,Boulder
First Overhang Traverse,First Overhang,3.5,V7,Boulder
Holloway Direct,Cloud Shadow,3.5,V7,Boulder
Just Right,Capstan,3.5,V7,Boulder
Valhalla,"Dark Side
        
             > Miscellaneous Problems",3,V7,Boulder
Red Wall Direct,Red Wall,3,V7,Boulder
Battaglia's Bottom,"Dark Side
        
             > Nook's Rock",2.5,V7,Boulder
Cryptic Magician,"Dark Side
        
             > Cryptic Boulder",3.5,V7,Boulder
Curmudgeon,Cloud Shadow,2.5,V7,Boulder
Smith Overhang,Pratt's Rock aka Prat…,3,V8,Boulder
New Beginnings,Cloud Shadow,2.5,V8,Boulder
The Trough Direct SDS,Capstan,3,V8,Boulder
Moffat Direct,Red Wall,3,V8,Boulder
Hollow's Way,Notlim Boulder,4,V8+,Boulder
The Long Bright Dark,"Dark Side
        
             > Nook's Rock",3,v... no way bro ;) (V9-),Boulder
Mongolian Cosmonaut,Flagstaff Amphitheatre,3,v... no way bro ;) (V9),Boulder
Undercling Traverse,Cloud Shadow,3,v... no way bro ;) (V9),Boulder
Trice,Cloud Shadow,3.5,v... no way bro ;) (V12),Boulder
East Face,Crown Rock,2.5,5.5,TR
West Face [The Capstan],Capstan,3,5.10a,TR
Center,Umbrella Tree,2.5,5.10,"Trad, TR"
King Conqueror,,3.5,5.11d,
