Word,Count
route,1554
you,594
your,592
out,506
rock,431
project,419
red,399
from,372
south,368
blue,359
west,352
love,351
two,334
dog,317
old,306
good,301
new,288
mr.,286
power,280
down,268
boy,251
just,249
tree,245
low,226
lost,221
buttress,221
free,216
super,216
over,213
get,211
full,210
gully,208
hot,197
pocket,191
edge,188
three,188
sun,180
sky,178
eye,173
fun,172
but,166
house,159
sweet,158
bolt,156
blood,154
groove,142
"route,",140
never,132
block,131
choss,128
fly,127
step,126
blues,125
los,121
who,121
got,121
brown,120
butt,119
beer,119
upper,118
gold,118
show,114
bulge,114
street,113
gun,112
boys,111
book,109
sex,108
here,106
foot,105
cold,105
cool,105
feet,105
better,103
run,102
prow,101
jesus,101
best,100
school,99
home,97
rope,96
cheese,94
pump,93
cross,93
goes,93
club,93
soul,92
where,91
dr.,90
box,90
through,87
shot,85
bush,85
four,85
drop,84
secret,84
eyes,83
wet,82
rose,81
number,80
god,80
lower,79
creek,78
dogs,78
roll,77
return,77
cowboy,77
route),76
jump,76
bloody,75
express,74
summer,74
jugs,74
see,73
joe,72
holy,71
moss,70
nuts,70
loose,69
pretty,68
smoke,68
lucky,68
young,68
pockets,68
bolts,67
dry,67
jug,67
country,67
body,66
perfect,66
5.8,65
bob,65
move,65
job,65
you're,64
shoes,64
come,64
bee,64
bull,64
mouth,64
mouse,63
southwest,63
cow,63
hueco,62
wolf,62
flow,61
ground,61
egg,61
hold,61
nest,61
slot,60
5.9,60
pull,60
test,60
hollow,59
pop,59
funky,58
zero,58
room,57
ghost,57
cut,57
mystery,57
how,56
solo,56
dust,56
journey,55
burn,55
sloper,54
butter,54
bunny,54
rocket,53
slow,53
nut,53
sheep,53
lunch,53
grey,53
turkey,52
rocks,52
she,52
check,52
does,51
(project),51
sound,51
look,50
hook,49
fever,49
duck,49
true,49
joy,49
mud,49
spot,49
western,48
steps,48
some,48
5.10,48
hero,47
bomb,46
keep,46
5.7,46
'em,46
scoop,45
soup,45
sunset,45
wood,45
psycho,45
punch,44
bolted,44
5.6,44
guy,44
next,44
bob's,44
bucket,44
smooth,43
butterfly,43
cherry,43
future,43
cloud,42
freedom,42
speed,42
frog,42
owl,42
ugly,41
lunge,41
c'est,41
sunny,41
thumb,41
cry,40
our,40
syndrome,40
food,40
her,40
funk,39
post,39
bowl,39
why,39
rest,39
where's,39
hey,38
turn,38
pet,38
stem,38
steep,38
comes,37
stuff,37
booty,37
gym,37
need,37
mushroom,37
knee,37
fox,37
moose,37
eggs,37
project),37
dos,37
hour,37
chute,36
round,36
hug,36
shoe,36
teeth,35
buckets,35
bug,35
folly,35
mossy,35
weg,35
flower,35
fresh,35
(v+),35
root,35
truth,35
hope,34
"me,",34
lock,34
woods,34
gets,34
hop,34
rough,34
rusty,33
buzz,33
shock,33
blow,33
pot,33
redneck,33
bus,33
chuck,33
scout,33
betty,33
guns,33
coyote,33
rubber,32
fuck,32
trust,32
moves,32
put,32
mom,32
dome,32
hog,32
dope,32
tube,32
boots,32
101,32
hunter,32
much,32
tres,32
st.,31
boom,31
routes,31
shower,31
voodoo,31
boss,31
mrs.,31
fools,30
eyed,30
pete's,30
fuzzy,30
poop,30
pussy,30
runner,30
2nd,30
slope,30
throw,30
pool,30
fury,30
empty,29
peter,29
sol,29
ego,29
close,29
burnt,29
drug,29
fool,29
must,29
drunk,29
rhythm,29
own,29
puppy,29
crow,29
sur,29
pro,29
bump,29
goose,29
needs,29
beef,28
press,28
were,28
use,28
loco,28
key,28
trees,28
puff,28
gypsy,28
cup,28
crown,28
chop,28
kung,28
most,28
cock,27
slug,27
yer,27
shut,27
shoot,27
doom,27
sour,27
very,27
who's,27
ol',27
hollywood,27
5.11,27
brush,27
loves,27
guys,27
sexy,26
bow,26
effect,26
ever,26
cheek,26
rush,26
6b+,26
yet,26
reverse,26
try,26
jolly,25
troll,25
brew,25
surfer,25
hungry,25
buster,25
clown,25
luck,25
count,25
lover,25
buck,25
shop,25
und,25
"project,",25
bold,25
pure,24
blunt,24
hood,24
pee,24
cube,24
rocky,24
blueberry,24
every,24
(1st,24
meets,23
gut,23
stud,23
groovy,23
burger,23
turd,23
thought,23
hobo,23
jet,23
meet,23
exposure,23
hump,23
gumby,23
church,23
neck,23
bluff,23
holds,23
push,23
crest,22
weed,22
"up,",22
column,22
lust,22
could,22
system,22
"good,",22
pressure,22
crunch,22
bum,22
dumb,22
gods,22
heroes,22
spur,22
steve,22
echo,22
youth,22
gem,22
stroll,22
punk,22
she's,21
"you,",21
web,21
(lower,21
pepper,21
sloth,21
beers,21
follow,21
hurt,21
bye,21
cove,21
buddy,21
lot,21
100,21
hut,21
'n',21
turbo,21
junk,21
skull,21
mercy,20
crooked,20
joe's,20
ext.,20
breeze,20
suck,20
cover,20
1st,20
surf,20
bound,20
burly,20
stuck,20
mount,20
fern,20
hunt,20
flyer,20
como,20
fred,20
crusher,20
dutch,19
clouds,19
found,19
grunt,19
looks,19
bro,19
bosch,19
blocks,19
curve,19
jr.,19
odyssey,19
boot,19
slopers,19
dusty,19
buns,19
tuff,19
row,19
mt.,18
plus,18
huck,18
surgery,18
would,18
hex,18
funny,18
should,18
pour,18
cowboys,18
vulture,18
lounge,18
socks,18
couch,18
pete,18
slopey,18
log,18
culture,18
secrets,18
hooker,18
outer,18
trout,18
jerry,18
stress,17
hung,17
truck,17
chump,17
